,Date,Open,High,Low,Close,Volume
0,2024-07-05,186.42503149573994,191.3414164524946,186.42503149573994,191.04286193847656,14303400
1,2024-07-08,190.45069711592777,190.76319226258218,188.41546958896834,189.56991577148438,12097600
2,2024-07-09,190.8338595201093,191.93855678500145,189.32111750289536,189.53012084960938,10198500
3,2024-07-10,189.83863912053747,192.3864055827935,189.7092553720072,191.73951721191406,12052900
4,2024-07-11,190.42581185047976,191.49070689229055,185.9274184462918,186.40512084960938,16452000
5,2024-07-12,186.02693426217306,187.78848183152007,185.25066215077658,185.88760375976562,14449100
6,2024-07-15,185.59898838135626,188.99268444766693,185.59898838135626,187.29086303710938,12186000
7,2024-07-16,188.05718381074823,189.43058004889969,184.23551922028437,184.61370849609375,12760100
8,2024-07-17,183.797637703532,184.34501297780054,180.75226005054782,181.7474822998047,17376600
9,2024-07-18,182.66307575875155,183.1706487993086,177.3585548006131,178.3637237548828,17877200
10,2024-07-19,179.50822673030132,181.10058835460111,178.00544664695926,178.5329132080078,14485900
11,2024-07-22,181.47877680937106,183.41945708962345,181.0309146643325,182.4739990234375,16303900
12,2024-07-23,182.96165245586926,184.3350640027912,182.45409458177846,182.72280883789062,23772600
13,2024-07-24,174.55202668074418,177.09979316518073,172.7407301149813,173.53689575195312,31250700
14,2024-07-25,173.4174687468147,174.36292680180097,168.24231633215,168.35179138183594,28967900
15,2024-07-26,167.96365075090284,169.02853058164533,165.07253154698373,167.8740692138672,25150100
16,2024-07-29,169.6853982942399,171.33747091931275,168.90912613275006,170.31239318847656,13768900
17,2024-07-30,171.00905445713784,172.1236986051089,169.30721759432208,171.03890991210938,13681400
18,2024-07-31,174.08425557651037,175.069530965821,170.89954775343,172.3227081298828,15650200
19,2024-08-01,171.15831245883476,174.84063162092647,169.6953345864165,171.62606811523438,17177800
20,2024-08-02,167.38642504910325,169.39677815477577,165.5950220433498,167.5954132080078,18907800
21,2024-08-05,156.61810168379614,165.1471626241353,155.85179157780124,159.8724822998047,34907800
22,2024-08-06,160.17604343746325,161.5743294063401,157.37449052925194,159.77296447753906,36146500
23,2024-08-07,162.46008828108984,164.00267064574712,159.47442148102544,159.9819793701172,19334200
24,2024-08-08,161.56833544992278,164.70926231986124,161.25584031798192,163.05718994140625,15733600
25,2024-08-09,160.8727052629995,164.72919149157096,160.16110981116358,164.5998077392578,13549200
26,2024-08-12,165.20191471762212,165.90354823547273,162.76860418080008,163.16668701171875,12435000
27,2024-08-13,164.39577137564402,165.74429316110744,163.9827608577529,165.13720703125,12717600
28,2024-08-14,163.4254517688893,164.1718684537156,158.76780375891238,161.255859375,22515900
29,2024-08-15,161.43500652889347,162.73874523594782,160.71844529990557,162.39041137695312,18392500
30,2024-08-16,162.62926402314056,166.15234394400667,162.30083887346805,163.95291137695312,16853100
31,2024-08-19,166.20210819569164,167.66508605156648,165.29645234474324,167.5954132080078,13100800
32,2024-08-20,167.93380563043442,169.59582494285056,167.85418602921922,168.1527557373047,12622500
33,2024-08-21,166.192159964543,167.8342705134661,165.7741684645605,166.8291015625,15269600
34,2024-08-22,168.23235218455866,168.61054147594697,164.241516672691,164.69932556152344,19123800
35,2024-08-23,165.75428060188085,167.14758577694397,164.86853334361484,166.63006591796875,14281600
36,2024-08-26,167.35160137557054,168.57075474363222,165.5253769948082,167.12767028808594,11990300
37,2024-08-27,166.80920212469354,167.44116278726227,165.36613289768596,165.5850830078125,13718200
